fokontany,new_commune,old_commune,comm_fkt
TSINJORANO,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_TSINJORANO
SAHASOMANGANA,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_SAHASOMANGANA
MAROFOTSY,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_MAROFOTSY
AMBINANINDRANO,MAROHARATRA,MAROHARATRA,MAROHARATRA_AMBINANINDRANO
SAHOFIKA,TSARATANANA,TSARATANANA,TSARATANANA_SAHOFIKA
AMBOHITSARA I,TSARATANANA,TSARATANANA,TSARATANANA_AMBOHITSARA I
ANDRORANGAVOLA VATOFOTSY,TSARATANANA,TSARATANANA,TSARATANANA_ANDRORANGAVOLA VATOFOTSY
TSARATANANA,TSARATANANA,TSARATANANA,TSARATANANA_TSARATANANA
AMBODIGOAVY,TSARATANANA,TSARATANANA,TSARATANANA_AMBODIGOAVY
AMBODIMANGA OUEST,TSARATANANA,TSARATANANA,TSARATANANA_AMBODIMANGA OUEST
VOHITRARIVO,TSARATANANA,TSARATANANA,TSARATANANA_VOHITRARIVO
AMPITAMBE,KELILALINA,KELILALINA,KELILALINA_AMPITAMBE
MANDRIVANY,KELILALINA,KELILALINA,KELILALINA_MANDRIVANY
AMBODIPAISO NORD,KELILALINA,KELILALINA,KELILALINA_AMBODIPAISO NORD
AMBODIPAISO SUD,KELILALINA,KELILALINA,KELILALINA_AMBODIPAISO SUD
KELILALINA,KELILALINA,KELILALINA,KELILALINA_KELILALINA
ANDRANOMAINTY,KELILALINA,KELILALINA,KELILALINA_ANDRANOMAINTY
ANOSY,KELILALINA,KELILALINA,KELILALINA_ANOSY
VOLOBE,AMPASINAMBO,FASINTSARA,AMPASINAMBO_VOLOBE
TSARATANANA,FASINTSARA,FASINTSARA,FASINTSARA_TSARATANANA
TSARARIVOTRA,FASINTSARA,FASINTSARA,FASINTSARA_TSARARIVOTRA
BEFOTAKA,FASINTSARA,FASINTSARA,FASINTSARA_BEFOTAKA
AMBOHITSARA,FASINTSARA,FASINTSARA,FASINTSARA_AMBOHITSARA
FASINTSARA,FASINTSARA,FASINTSARA,FASINTSARA_FASINTSARA
AMBOHINIHAONANA,KELILALINA,KELILALINA,KELILALINA_AMBOHINIHAONANA
KIANJANOMBY,KELILALINA,KELILALINA,KELILALINA_KIANJANOMBY
AMBINANINDRANOTELO,AMBIABE,IFANADIANA,AMBIABE_AMBINANINDRANOTELO
ANKABOKA,AMBIABE,IFANADIANA,AMBIABE_ANKABOKA
AMBIABE I,AMBIABE,IFANADIANA,AMBIABE_AMBIABE I
ANIVORANO,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_ANIVORANO
LAVAKIANJA SUD,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_LAVAKIANJA SUD
AMBODIARA NORD,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_AMBODIARA NORD
SAHAVATANA,AMBIABE,KELILALINA,AMBIABE_SAHAVATANA
AMBODIVOANGY,KELILALINA,KELILALINA,KELILALINA_AMBODIVOANGY
AMPASIMPOTSY,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_AMPASIMPOTSY
AMBALATABAKA,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_AMBALATABAKA
AMBOHIMISAFY,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_AMBOHIMISAFY
AMBOHINIHAONANA,TSARATANANA,TSARATANANA,TSARATANANA_AMBOHINIHAONANA
AMBATOHARANANA,TSARATANANA,TSARATANANA,TSARATANANA_AMBATOHARANANA
SANDRAKELY,TSARATANANA,TSARATANANA,TSARATANANA_SANDRAKELY
AMBODIMANGA EST,TSARATANANA,TSARATANANA,TSARATANANA_AMBODIMANGA EST
SAHAFITOROKA,IFANADIANA,IFANADIANA,IFANADIANA_SAHAFITOROKA
MAROMENA,IFANADIANA,IFANADIANA,IFANADIANA_MAROMENA
AMBALAVAONA,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_AMBALAVAONA
AMBOHIMAHAVELONA BETOHO,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO
NOSIBE SUD,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_NOSIBE SUD
MANDRIAPOTSY,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_MANDRIAPOTSY
ANTARALAVA,TSARATANANA,TSARATANANA,TSARATANANA_ANTARALAVA
AMBOHIMITA,TSARATANANA,TSARATANANA,TSARATANANA_AMBOHIMITA
SANDRASATY,TSARATANANA,TSARATANANA,TSARATANANA_SANDRASATY
RANOMAFANA,RANOMAFANA,RANOMAFANA,RANOMAFANA_RANOMAFANA
AMBATOLAHY,RANOMAFANA,RANOMAFANA,RANOMAFANA_AMBATOLAHY
TSARAMANDROSO,RANOMAFANA,RANOMAFANA,RANOMAFANA_TSARAMANDROSO
VOHIMARINA,RANOMAFANA,RANOMAFANA,RANOMAFANA_VOHIMARINA
MALAZAMASINA SUD,MAROHARATRA,MAROHARATRA,MAROHARATRA_MALAZAMASINA SUD
MALAZAMASINA NORD,MAROHARATRA,MAROHARATRA,MAROHARATRA_MALAZAMASINA NORD
ANTANJOMANGA,MAROHARATRA,MAROHARATRA,MAROHARATRA_ANTANJOMANGA
BETAMPONA NORD,MAROHARATRA,MAROHARATRA,MAROHARATRA_BETAMPONA NORD
